timestamp,nh_ch4,sh_ch4,nh_ch4_err,sh_ch4_err,nh_ch4c13,sh_ch4c13,nh_ch4c13_err,sh_ch4c13_err,nh_mcf,sh_mcf,nh_mcf_err,sh_mcf_err,nh_n2o,sh_n2o,nh_n2o_err,sh_n2o_err,nh_c2h6,sh_c2h6,nh_c2h6_err,sh_c2h6_err,nh_co,sh_co,nh_co_err,sh_co_err,nh_n2o_strat,nh_n2o_strat_err,sh_n2o_strat,sh_n2o_strat_err,h2o_global_strat,h2o_tropical_strat
01-Jun-1998,1806.13182809422,1721.5422510917,9.55301860587593,14.6176916712241,-47.3014848484848,-47.0962101190476,0.197045532021466,0.0895514839807798,66.6007386792739,1935.43808964899,0.843,1489.3182388623,314.023181203453,312.858362545018,0.2,0.401,NaN,NaN,NaN,NaN,105.4347,61.5202743506494,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.033516,4.012929
01-Jul-1998,1798.58118133807,1727.64009999673,9.55301860587593,14.6176916712241,-47.4086287878788,-47.1591994047619,0.197045532021466,0.0895514839807798,65.1675287088935,1935.00875083596,1.086,1489.43179855118,313.93095260837,313.071053961585,0.2,0.336,NaN,NaN,NaN,NaN,86.6349000000001,67.1209053030303,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.311103,4.356346
01-Aug-1998,1800.98487704823,1731.06274451267,9.55301860587593,14.6176916712241,-47.5446742424242,-47.2103517857143,0.197045532021466,0.0895514839807798,63.6303142290249,1873.73525645503,0.703,1468.2961278727,313.94159138921,313.27368532074,0.2,0.413,NaN,NaN,NaN,NaN,81.5974000000002,71.6752884199134,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.56088,4.788659
01-Sep-1998,1815.73266035789,1733.53044534978,9.55301860587593,14.6176916712241,-47.6368484848485,-47.2264291666667,0.197045532021466,0.0895514839807798,62.6088209893281,1872.69011431406,1.108,1477.80419704008,314.016163244481,313.410141353383,0.2,0.205820362407269,NaN,NaN,NaN,NaN,87.2222999999999,73.9789485930736,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.656594,4.924927
01-Oct-1998,1835.28136405259,1732.76430564363,9.55301860587593,14.6176916712241,-47.649303030303,-47.1949226190476,0.171959147987759,0.0895514839807798,61.8224125893948,1871.97301184807,0.548,1477.93945165794,314.174091107504,313.503769548872,0.246,0.263,NaN,NaN,NaN,NaN,93.6100999999999,72.1393365800866,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.82484,5.155793
01-Nov-1998,1836.35983903355,1729.78356057273,9.55301860587593,14.6176916712241,-47.5993409090909,-47.1410083333333,0.145427341600649,0.0895514839807798,61.2622462057198,1852.50039766555,0.573,1475.94299168747,314.395474638642,313.715369960318,0.205,0.351,NaN,NaN,NaN,NaN,105.323068181818,64.9685319264069,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.744704,5.034459
01-Dec-1998,1840.97784707096,1726.5590067935,9.55301860587593,14.6176916712241,-47.5247272727273,-47.105543452381,0.144308765151488,0.0895514839807798,60.6982459262024,1851.63247989211,0.808,1476.08908195214,314.56385695754,313.915924007936,0.2,0.335,NaN,NaN,NaN,NaN,115.997869318182,56.5830633116883,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.474757,4.338578
01-Jan-1999,1843.55872384325,1722.88278719157,9.55301860587593,14.6176916712241,-47.4527954545455,-47.1056053571429,0.144308765151488,0.0895514839807798,60.2500013591773,1843.37408942893,0.753,1490.80072374619,314.678359392234,314.061918233083,0.2,0.259757921502363,NaN,NaN,NaN,NaN,119.3111,50.5228086484594,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.415609,4.174223
01-Feb-1999,1843.58620000089,1720.82019554154,9.55301860587593,14.6176916712241,-47.3827626190476,-47.1276046875,0.144308765151488,0.0895514839807798,59.4355381147851,1868.24327662509,0.588,1478.64390826256,314.744958039558,314.060988011696,0.2,0.295832312298429,NaN,NaN,NaN,NaN,116.3595,47.5240496031746,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.924716,3.277198
01-Mar-1999,1842.98853955493,1721.11817347466,9.55301860587593,14.6176916712241,-47.3520402494331,-47.1402463293651,0.144308765151488,0.0895514839807798,58.6693614799682,1848.83825947731,0.559362650343463,1476.61082112162,314.79931275604,313.881831666667,0.203,0.254532161501132,NaN,NaN,NaN,NaN,118.673380681819,47.0618887085137,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.684762,3.148483
01-Apr-1999,1836.83939724013,1722.74588089151,9.55301860587593,14.6176916712241,-47.2959676870748,-47.1506196428572,0.144308765151488,0.0895514839807798,57.8737239817654,1840.96477064089,0.510707702819579,1491.2609605763,314.870331964107,313.880111967419,0.225,0.314,NaN,NaN,NaN,NaN,117.6245,49.2314511554622,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.599972,3.173502
01-May-1999,1826.75015568708,1727.37080187149,9.55301860587593,14.6176916712241,-47.2394906462585,-47.1540232142857,0.144308765151488,0.0895514839807798,56.8729996292979,1840.54247799857,0.904,1491.32341486741,314.82484972805,313.828078696742,0.2,0.313226256981596,NaN,NaN,NaN,NaN,104.251,52.5096150210084,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.682495,3.280704
01-Jun-1999,1818.23821910368,1733.19992836551,9.55301860587593,14.6176916712241,-47.2259079065589,-47.1618000744048,0.144308765151488,0.0895514839807798,55.7211559837599,1865.88505688775,1.016,1479.05664661339,314.744516755863,313.938609085213,0.237,0.301262296003853,NaN,NaN,NaN,NaN,86.8618,56.4111585497836,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.752206,3.650954
01-Jul-1999,1810.36263091625,1737.11092328415,9.55301860587593,14.6176916712241,-47.2744779874214,-47.1685290922619,0.144308765151488,0.0895514839807798,54.1768533611992,1865.38766159297,0.8,1479.15083965275,314.6833964957,314.083545676692,0.248,0.29,NaN,NaN,NaN,NaN,75.1510999999999,59.9204983766234,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.996351,3.946158
01-Aug-1999,1809.40450367189,1740.61660696279,9.55301860587593,14.6176916712241,-47.407318877551,-47.1676875,0.144308765151488,0.0895514839807798,52.9196331644409,1864.89405524376,0.778,1479.23559689807,314.681665535684,314.252848934837,0.33,0.268,NaN,NaN,NaN,NaN,74.0621,63.7693035714286,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.289855,4.409304
01-Sep-1999,1817.93332327156,1741.76555733193,9.55301860587593,14.6176916712241,-47.5243452380952,-47.1500357142857,0.144308765151488,0.0895514839807798,52.1529761843961,1849.84100177683,0.748,1483.58621290224,314.842751062717,314.372784172521,0.379,0.287,NaN,NaN,NaN,NaN,77.4427000000001,69.506855952381,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.477169,4.713454
01-Oct-1999,1826.02203691383,1740.61456408997,9.55301860587593,14.6176916712241,-47.582893707483,-47.1320023809524,0.14120347356922,0.0895514839807798,51.4472195717204,1849.20770705402,0.848,1483.69016124368,315.109875719163,314.522922697112,0.2,0.332,NaN,NaN,NaN,NaN,80.0032999999998,72.1703173809524,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.625972,4.941871
01-Nov-1999,1834.53200911645,1736.86500609322,9.55301860587593,14.6176916712241,-47.5627270408163,-47.1253738095238,0.122599471273928,0.0895514839807798,50.8673758940596,1858.60447723665,0.833,1460.257126741,315.369611941339,314.708244037941,0.221,0.27,NaN,NaN,NaN,NaN,85.6329,65.5119215811966,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.644999,4.924378
01-Dec-1999,1838.20626624686,1732.56931561347,9.55301860587593,14.6176916712241,-47.4899294217687,-47.1301886904762,0.122599471273928,0.0895514839807798,50.5850134493747,1857.84513919553,1.079,1460.39859165006,315.553152078892,314.809551064654,0.246,0.244,NaN,NaN,NaN,NaN,93.6523000000001,56.6670382478633,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.489149,4.462199
01-Jan-2000,1838.50700646216,1730.38653590852,9.55301860587593,14.6176916712241,-47.4074319727891,-47.1345398809524,0.122599471273928,0.0895514839807798,50.0598658991392,1861.36318942744,1.119,1479.88432441058,315.719199639426,314.91377967033,0.271,0.237085035553964,NaN,NaN,NaN,NaN,103.327816091954,50.1448844537815,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.263929,3.745372
01-Feb-2000,1839.85451305629,1726.595081842,9.55301860587593,14.6176916712241,-47.3567182539682,-47.1366232142857,0.122599471273928,0.0895514839807798,49.396508956732,1921.59360372024,0.897,1491.92282195001,315.834356055629,314.871162785114,0.243,0.298,NaN,NaN,NaN,NaN,115.30345,48.1476929112554,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.998411,3.677333
01-Mar-2000,1839.58145655088,1724.45363384668,9.55301860587593,14.6176916712241,-47.3505907029478,-47.1426494047619,0.122599471273928,0.0895514839807798,48.9299585122572,1859.98978260582,0.814,1480.1673613918,315.919359182087,314.824008994709,0.398,0.333,NaN,NaN,NaN,NaN,119.083462643678,48.2326110819328,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.009909,3.710728
01-Apr-2000,1835.81251092351,1726.61575641347,9.55301860587593,14.6176916712241,-47.3504145502646,-47.1575648809524,0.122599471273928,0.0895514839807798,48.2634007463483,1920.51296363358,0.586,1492.12774119701,316.028494752139,314.742595098039,0.247,0.35,NaN,NaN,NaN,NaN,109.9364,49.7043111471861,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.947167,3.736813
01-May-2000,1827.66267948036,1730.43048118136,9.55301860587593,14.6176916712241,-47.339785978836,-47.1703773809524,0.122599471273928,0.0895514839807798,47.436363565502,1920.10158511467,0.460567271524492,1492.21135306365,316.074148984679,314.734532492997,0.328,0.304,NaN,NaN,NaN,NaN,94.3148999999999,51.7475059523809,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.030737,3.919003
01-Jun-2000,1815.56504742073,1734.60304551525,9.55301860587593,14.6176916712241,-47.326887755102,-47.1774327380952,0.122599471273928,0.0895514839807798,46.4495378302732,1858.71050066138,0.377072093980579,1471.03280842465,316.125096787067,314.78526373475,0.232,0.234,NaN,NaN,NaN,NaN,81.5162,54.7987397186147,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.097752,4.034665
01-Jul-2000,1806.42912470377,1738.56832402215,9.55301860587593,14.6176916712241,-47.3488758503401,-47.1856488095238,0.122599471273928,0.0895514839807798,45.399257073195,1858.51905261905,0.328748845840419,1471.06330430463,316.1254009817,314.996863852814,0.29,0.322,NaN,NaN,NaN,NaN,73.4418999999999,58.6522835497836,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.194487,4.176718
01-Aug-2000,1807.69538830199,1741.52727192013,9.55301860587593,14.6176916712241,-47.4213035714286,-47.199075,0.122599471273928,0.0895514839807798,44.4573919368457,1857.87094268708,0.27784845347039,1480.51477003829,316.123788706736,315.194791917293,0.256,0.227,NaN,NaN,NaN,NaN,72.5698,62.0413084415585,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.445667,4.531765
01-Sep-2000,1819.60716386997,1742.04105743982,9.55301860587593,14.6176916712241,-47.5349173340548,-47.2027898809524,0.122599471273928,0.0895514839807798,43.5988298393242,1838.74997293062,0.23379984118146,1478.44755742842,316.221580565258,315.327439970238,0.249,0.275,NaN,NaN,NaN,NaN,76.0042897727273,64.6521352813853,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.584552,4.747103
01-Oct-2000,1828.76901301414,1740.02113850969,9.55301860587593,14.6176916712241,-47.5719852133346,-47.1806101190476,0.122599471273928,0.0895514839807798,42.957966734358,1838.0448211728,0.269405572495477,1478.57325441704,316.38421125926,315.528305625,0.2,0.215,NaN,NaN,NaN,NaN,79.3949715909091,64.2373133116883,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.776079,4.938207
01-Nov-2000,1840.34266923421,1734.35481380232,9.55301860587593,14.6176916712241,-47.5309747253643,-47.1251572530864,0.122599471273928,0.0895514839807798,42.6037818766483,1830.24563284103,0.283235837683944,1493.22303534935,316.585002164638,315.662757330827,0.228,0.3,NaN,NaN,NaN,NaN,85.1817999999999,58.7670285364146,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.71723,4.699616
01-Dec-2000,1845.41648603627,1729.87754520829,9.55301860587593,14.6176916712241,-47.4658250453847,-47.07982375,0.122599471273928,0.0895514839807798,42.2025387980793,1829.56860870032,0.309500247574976,1493.3334351274,316.735547040223,315.763374373434,0.258,0.216695531400583,NaN,NaN,NaN,NaN,94.8391999999999,51.7383068977591,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.012036,3.719701
01-Jan-2001,1846.20454886689,1724.79377398255,9.55301860587593,14.6176916712241,-47.4248609068015,-47.0742733796296,0.122599471273928,0.0895514839807798,41.7996160224696,1854.59392094671,0.354988897724343,1481.11464676039,316.86168747073,315.794812406015,0.2,0.243664829598195,NaN,NaN,NaN,NaN,105.6365,48.1607402597402,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,4.054837,3.261549
01-Feb-2001,1845.46349136876,1719.0210781635,9.55301860587593,14.6176916712241,-47.4272880320098,-47.1250132495591,0.122599471273928,0.0895514839807798,41.3058792033637,1853.87947590231,0.357407822664355,1481.26580565852,316.956938870615,315.694204385965,0.204,0.324,NaN,NaN,NaN,NaN,113.0356,48.2635199997814,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.545143,3.014518
01-Mar-2001,1846.01044434797,1717.10928400467,9.55301860587593,14.6176916712241,-47.4237183940015,-47.1076727648203,0.122599471273928,0.0895514839807798,40.9139307919092,1827.51158203992,0.41355783649367,1493.72968133953,317.003141015759,315.464199185464,0.242,0.333402325761192,NaN,NaN,NaN,NaN,116.5648,47.3586633191155,7.89807946528774,3.49192843602446,NaN,NaN,NaN,NaN,3.445071,2.796376
