Monthly mean zonal wind components ( 0.1 m/s)
at Singapore (48698), 1N/104E

1987
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 80   -1   44   35  -25  -15   12   64   18   84   95   50   30
 90  -31   14   20   -5  -59   -7   17   -3   38   26   -5  -23
100  -95  -73  -38  -26  -84  -39  -53  -98  -72  -15  -39  -67

2012
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -261 -275 -333 -220   18   80   74  101  119  133  162  218
 12 -357 -374 -364 -324  -80   71   74   96  119  120  156  219
 15 -356 -348 -330 -333 -287  -44   27   83   88  102  133  202
 20 -320 -302 -313 -323 -340 -327 -194  -75   -5   10   86  176
 25 -288 -283 -282 -293 -315 -322 -323 -326 -292 -282 -106   73
 30 -238 -213 -217 -257 -306 -325 -326 -347 -331 -336 -335 -161
 35 -101 -105 -132 -174 -261 -301 -313 -312 -312 -312 -302 -278
 40  -19  -34  -26  -31 -168 -229 -258 -271 -276 -265 -263 -272
 45   23   22   33   42  -42 -123 -184 -196 -201 -200 -214 -226
 50   44   64   65   69   48  -11  -82  -93 -107 -121 -128 -172
 60   57   54   33   59   83   52   13    3   -6   -3  -16  -19
 70    7   -1   10   -7   16   54   12   22   29   37   11   26
 80  -20  -24  -11  -92  -30   -8   -2    7   16   -3   -8  -21
 90  -66  -61 -102 -106  -83  -97    0  -42   18  -46  -24  -70
100 -134  -89 -138  -73 -102 -162  -79 -123  -52 -108 -101 -121

2013
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10  145  142  185  148  117  117   77   67   69   40 -154 -257
 12  176  161  194  148  110  130   99   97  109   85  -31 -191
 15  173  169  194  158  132  151  121  122  148  116   77  -51
 20  155  154  169  165  162  185  144  164  169  124  105   81
 25  122  138  130  133  148  167  152  149  148  104  107   95
 30  -47   18   89  102  109  157  147  122  139  119  118  117
 35 -254 -143   -7   88   73  114  134  119  116  125  124  122
 40 -303 -249 -177   29   38   85  114  109  106  118  114   99
 45 -231 -209 -213  -82  -33   83   88   89   97  120   93   92
 50 -135 -143 -183 -208 -113   47   88   93   87  110   90   94
 60  -33  -49  -69 -110 -126  -46   56   47   69   78   79   77
 70   -2   -1  -60  -54 -128 -113  -18   11   60   66   82   74
 80   -1    3  -75  -53 -139  -94  -36  -33   37   63   42   36
 90  -13  -27  -43  -32 -115 -128  -90  -70  -19  -17  -21  -15
100  -79  -97   -1  -10  -94 -163 -194 -123 -117  -85  -96 -134

2014
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -251 -258 -280 -286 -285 -313 -334 -330 -320 -295   51  173
 12 -199 -226 -245 -266 -287 -288 -310 -326 -319 -304 -136   91
 15  -75 -111 -167 -271 -288 -293 -304 -318 -319 -321 -329 -158
 20   85   61    4 -169 -259 -281 -307 -307 -324 -358 -350 -362
 25  130  118  100  -19 -225 -258 -300 -324 -342 -347 -350 -329
 30  148  126  113   88 -131 -258 -307 -295 -317 -323 -312 -287
 35  137  124  112  126    0 -176 -238 -249 -258 -266 -268 -273
 40  127  127  105  144   94   -4 -126 -127 -131 -181 -223 -247
 45  122  121  104  158  131   75   -4   -1  -20  -63 -137 -190
 50  112  114   92  147  141  101   51   72   53   31  -20 -106
 60   76   60   40  143  127  110  109  112   91   82   78   13
 70   62   49   25   82   97  110  110   84  109   62   84   33
 80   44   34   33   33   35   44   70   57   84   28   48  -15
 90   22    2    8    4  -50  -29   -9  -22   43   -4  -17  -45
100  -36  -33   -7   -9  -93 -120  -90 -116  -39  -58  -98  -83

2015
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10  138  167  106  123   96  115   91  136  179  127  -55 -222
 12   83  149  125  124  110  129  116  162  195  133   59 -124
 15  -92   58   82   87  110  125  159  165  207  121  114   26
 20 -355 -320 -151    3   97  127  170  163  189  133  129   96
 25 -317 -300 -301 -231    8   98  145  156  171  127  142  109
 30 -278 -295 -314 -311 -140   75  129  135  162  132  138   89
 35 -276 -284 -291 -291 -249   11   84  132  157  128  124   59
 40 -238 -248 -251 -258 -285 -121   35  112  151  118  112   33
 45 -191 -192 -198 -214 -251 -208  -23   93  130  105  103   28
 50 -110 -108 -141 -182 -217 -230 -116   46  108  102   99   55
 60   -9  -15  -32  -99 -152 -194 -131  -51   75   91  108  112
 70   -7    5   -9  -29 -123 -127 -158 -134  -20   70   96   93
 80  -21  -23  -22  -36 -100  -78 -144  -81  -38   16   49   36
 90  -18  -43  -45  -52  -87  -64 -156  -54  -44  -66   17   17
100  -24  -16  -54  -68  -83  -94 -157  -95  -83  -89  -52   10

2016
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -231 -205 -148  -11   45   24   16   25   17   35   31   32
 12 -145 -109    7   62   65   43   32   50   39   70  115  100
 15  -15   49   90  113   88   57   61   89   95  101  137  146
 20   91  135  123  115   92   76   90  123  125  141  150  169
 25  108  120  112   94  104   91   96  141  143  153  170  162
 30  100   95   21  -14   53   70  105  157  152  142  157  176
 35   31   16  -99 -152  -47   23   88  139  141  123  150  159
 40  -17  -66 -155 -226 -204 -100   20  103  129  116  136  155
 45   -6  -13  -10 -148 -261 -220  -69   28   87   99  114  144
 50   51   48   57  -54 -183 -234 -162  -34   31   77   89  113
 60  100   87   77   38  -40 -138 -183 -179  -96   -6   29   50
 70   27   54   50    2   24  -73  -90 -117 -112  -71  -21    5
 80  -30   14    7  -26  -18  -44  -64 -102 -116 -110  -54   -5
 90  -51  -26  -14  -13  -83  -61  -98 -153 -114 -149 -124  -49
100  -18  -62  -11   12 -115 -114 -136 -222 -192 -226 -176 -117

2017
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10    2   10 -162 -270 -286 -304 -331 -337 -339 -327 -203   18
 12   76   75  -40 -229 -280 -294 -329 -338 -352 -329 -328 -175
 15  112  123   73 -142 -268 -300 -309 -338 -347 -354 -352 -379
 20  142  159  131   52 -207 -287 -310 -329 -347 -375 -356 -329
 25  161  169  145  117  -85 -254 -294 -318 -338 -334 -314 -306
 30  171  177  153  136   58 -145 -256 -256 -247 -258 -271 -281
 35  169  185  155  141  116   38  -81  -97  -96 -153 -200 -217
 40  165  170  158  146  136  110   57   28   27  -34  -75  -92
 45  155  166  141  134  149  126   99   87   87   52   15   -3
 50  132  145  107  118  148  134  111  108  100   92   80   62
 60   77   94   28   66  114  136  123   95   87  112  100   84
 70   15   36   10   50   73  126  127   76   78   91   82   49
 80  -22   21   11   30   39   94   88   35   62   48   39   11
 90  -55  -21   -1  -13    3   25   72  -26  -25    8  -90  -35
100 -150  -80  -38  -49  -53  -26  -10  -82  -92  -68 -144  -82

2018
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10  -64 -248 -216  -87   29   95   90  119  160  173  231  202
 12 -213 -361 -387 -273  -48   74   72  134  156  166  216  215
 15 -386 -352 -378 -373 -301    4   68  137  149  154  202  220
 20 -338 -327 -342 -347 -349 -311  -81   64  131  135  182  204
 25 -309 -316 -321 -318 -324 -350 -348 -109   47  117  156  178
 30 -292 -278 -287 -314 -315 -329 -330 -310 -109   44  118  146
 35 -238 -214 -212 -274 -289 -303 -319 -333 -325 -104   57  104
 40 -103  -84  -88 -178 -248 -295 -313 -318 -317 -266  -71   45
 45   -1   17   19  -63 -184 -247 -277 -277 -277 -287 -215  -81
 50   64   86   73   23  -88 -178 -232 -229 -240 -252 -260 -189
 60   94   76   69   63   28  -32 -102 -140 -153 -144 -139  -80
 70   53   12   31   62   50    9  -40  -54  -90  -82  -82  -41
 80   42  -21   16   12    0   -1  -12  -36  -51  -50  -77  -77
 90  -23  -28   11  -79  -47  -54  -51  -68  -32  -68 -108  -77
100 -200  -34  -26 -110  -69 -133 -109 -124  -62  -99  -85  -97

2019
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10  131  111  125   29 -194 -290 -309 -336 -322 -305 -289 -291
 12  157  104  143   82  -98 -261 -281 -293 -240 -263 -254 -276
 15  159   87  137  104   32 -161 -159 -170 -103 -203 -251 -265
 20  157   73  142  136  142   90   35   11   13 -102 -192 -250
 25  160   90  169  153  166  123  120   80   85   30  -34  -94
 30  144  124  165  136  148  125  114  105   95   71   73   48
 35  111   98  141  129  127  116  117  107  100   79   72   62
 40   70   71  113  124  129  103  111   97   78   52   34    5
 45   -6   44   98  104  114   91  107   77   56   30   -4  -12
 50 -115   16   79   85  108   89   87   83   38   23   28   45
 60 -106  -86    8   35   96   92   83   65   23   60   68   72
 70  -37  -75  -17  -36   43   62   74   62   19   49   65   66
 80  -30  -59   -1  -98  -41   33   21   44   12   31   11   48
 90  -37  -46  -20 -101 -106  -58  -34  -28    3   19  -54   11
100  -52  -36  -28  -90  -97 -140  -94 -148  -68   -8  -14   -9

2020
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -307 -328 -345 -318   29   54    9  -35 -113 -198 -242 -264
 12 -291 -339 -346 -362 -178   23   17  -81 -132 -139 -226 -237
 15 -301 -323 -328 -289 -166  -82  -93  -68  -11   16  -81 -169
 20 -262 -220 -158  -74  -36   -3   11   43   87  108   60   22
 25  -79  -36   -2  -12   15   46   55   89  110  110  117   90
 30   37   21    0  -28  -17   57   88  104  120  135  144  104
 35   23  -25  -94 -155 -158  -26   49  107  127  127  140  108
 40  -63 -120 -181 -222 -263 -177  -24   87  120  128  129  108
 45  -46  -72 -139 -199 -237 -262 -113   31   91  116  111  111
 50   22  -17  -53 -158 -189 -226 -169  -21   63  123  106  108
 60   66   29   50   -5  -75 -142 -149 -141  -21   94  100   75
 70   41   23   51   17  -55  -93 -155 -144  -83   40   74   49
 80    1    9   10   -6  -63  -86 -156 -115  -90   -9   -1   36
 90  -50  -33  -37   -6  -81 -100 -141 -141 -148 -126  -67    1
100  -70  -70  -54   10 -104 -103 -131 -143 -186 -260 -127 -120

2021
hPa  JAN  FEB  MAR  APR  MAY  JUN  JUL  AUG  SEP  OCT  NOV  DEC
 10 -303 -298 -306 -312 -338 -244  -30  -51  -34   -5  111
 12 -263 -260 -291 -292 -322 -351 -208 -158 -181  -79    0
 15 -155 -170 -219 -278 -300 -318 -355 -316 -362 -327 -222
 20   11    9  -23 -179 -261 -286 -316 -330 -359 -368 -351
 25   71   81   76  -40 -167 -258 -297 -319 -332 -339 -320
 30   72   65   79   64  -37 -167 -238 -233 -268 -283 -279
 35   47   69   85  105   55   -6  -94  -84 -132 -188 -227
 40   47   73   93  119   87   69   38   15   -9  -44 -130
 45   41   71   91  122  107  101   81   77   56   47  -31
 50   53   82   82  128  127  115   99   99   97  103   39
 60   35   54   74   86   94   96   84   99   90  104   65
 70   24   34   38   65   49   70   61   73   66  111   62
 80   19  -19   -4   -4  -10   22   52   46   44   84   34
 90  -16  -48  -22  -40  -52   -4   16  -31   29   42    9
100 -171  -80  -25  -75  -73  -54  -60  -91  -40  -47 -118
