# Data origin for merged files:  the parameter names are listed here along with the name of the originating file,
## for the example date 2017-08-08. Look at the associated icartt file header for detailed information about the parameter.
## the MER#0 merged file is obtained by block averaging +/-5 s around each UTC time stamp evenly divisible by 10.
params	data.set
j[C2H5CHO->C2H5+HCO]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3OOH->CH3O+OH]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3ONO2->CH3O+NO2]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3CH2ONO2->CH3CH2O+NO2]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3CO(OONO2)->CH3CO(OO)+NO2]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3CO(OONO2)->CH3CO(O)+NO3]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH2=C(CH3)CHO->Products]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3COCH=CH2->Products]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3COCH3->CH3CO+CH3]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3COCH2CH3->CH3CO+CH2CH3]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH2(OH)COCH3->CH3CO+CH2(OH)]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH2(OH)COCH3->CH2(OH)CO+CH3]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CHOCHO->HCO+HCO]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CHOCHO->H2+2CO]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CHOCHO->CH2O+CO]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3COCHO->CH3CO+HCO]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CH3COCOCH3->Products]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[Cl2->Cl+Cl]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[ClO->Cl+O(3P)]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[ClNO2->Cl+NO2]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[ClONO->Cl+NO2]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[ClONO2->Cl+NO3]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[ClONO2->ClO+NO2]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[BR#->Br+Br]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[BrO->Br+O]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[HOBr->OH+Br]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[BrNO->Br+NO]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[BrONO->Br+NO2]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[BrONO->BrO+NO]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[BrNO2->Br+NO2]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[BrONO2->BrO+NO2]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[BrONO2->Br+NO3]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[BrCl->Br+Cl]	CAFS-JV_DC8_YYYYMMDD_R#.ict
j[CHBR#->Products]	CAFS-JV_DC8_YYYYMMDD_R#.ict
jO3_dnwFrac	CAFS-JV_DC8_YYYYMMDD_R#.ict
jNO2_dnwFrac	CAFS-JV_DC8_YYYYMMDD_R#.ict
MHP	CIT-MHP_DC8_YYYYMMDD_R#.ict
H2O_ppmv	DLH-H2O_DC8_YYYYMMDD_R#.ict
RHi_pct	DLH-H2O_DC8_YYYYMMDD_R#.ict
RHw_pct	DLH-H2O_DC8_YYYYMMDD_R#.ict
N2O_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
N2Oe_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
SF6_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
SF6e_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
F11_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
F11e_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
F113_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
F113e_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
F12_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
F12e_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
H1211_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
H1211e_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
CH4_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
CH4e_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
CO_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
COe_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
H2_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
H2e_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
PAN_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
PANe_GCECD	GCECD_DC8_YYYYMMDD_R#.ict
CH3Cl_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
CH3Cle_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
CH3Br_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
CH3Bre_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
CH3I_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
CH3Ie_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
HFC134a_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
HFC134ae_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
HCFC22_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
HCFC22e_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
HCFC141b_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
HCFC141be_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
HCFC142b_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
HCFC142be_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
OCS_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
OCSe_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
CS2_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
CS2e_PMSD	GCMSD_DC8_YYYYMMDD_R#.ict
T_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
U_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
V_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
Z_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
Theta_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
EPV_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
RH_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
CO_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
SO2_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
SO4_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
BlkCarbon_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
SeaSalt_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
Dust_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
BLHgt_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
TropP_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
Usfc_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
Vsfc_GEOS5	GEOS5_DC8_YYYYMMDD_R#.ict
lat	GMI_DC8_YYYYMMDD_R#.ict
lon	GMI_DC8_YYYYMMDD_R#.ict
Pres	GMI_DC8_YYYYMMDD_R#.ict
Trop	GMI_DC8_YYYYMMDD_R#.ict
Kel	GMI_DC8_YYYYMMDD_R#.ict
CH2O	GMI_DC8_YYYYMMDD_R#.ict
CH4	GMI_DC8_YYYYMMDD_R#.ict
CO	GMI_DC8_YYYYMMDD_R#.ict
H2	GMI_DC8_YYYYMMDD_R#.ict
HCOOH	GMI_DC8_YYYYMMDD_R#.ict
HNO3	GMI_DC8_YYYYMMDD_R#.ict
HNO4	GMI_DC8_YYYYMMDD_R#.ict
H2O	GMI_DC8_YYYYMMDD_R#.ict
HO2	GMI_DC8_YYYYMMDD_R#.ict
H2O2	GMI_DC8_YYYYMMDD_R#.ict
MOH	GMI_DC8_YYYYMMDD_R#.ict
MP	GMI_DC8_YYYYMMDD_R#.ict
N2O	GMI_DC8_YYYYMMDD_R#.ict
NO	GMI_DC8_YYYYMMDD_R#.ict
NO2	GMI_DC8_YYYYMMDD_R#.ict
N2O5	GMI_DC8_YYYYMMDD_R#.ict
O3	GMI_DC8_YYYYMMDD_R#.ict
OH	GMI_DC8_YYYYMMDD_R#.ict
CH3Br	GMI_DC8_YYYYMMDD_R#.ict
CH3Cl	GMI_DC8_YYYYMMDD_R#.ict
CFCl3	GMI_DC8_YYYYMMDD_R#.ict
CF2Cl2	GMI_DC8_YYYYMMDD_R#.ict
CFC113	GMI_DC8_YYYYMMDD_R#.ict
CFC114	GMI_DC8_YYYYMMDD_R#.ict
CFC115	GMI_DC8_YYYYMMDD_R#.ict
HCFC22	GMI_DC8_YYYYMMDD_R#.ict
HCFC141b	GMI_DC8_YYYYMMDD_R#.ict
HCFC142b	GMI_DC8_YYYYMMDD_R#.ict
CF2BR#	GMI_DC8_YYYYMMDD_R#.ict
CF2ClBr	GMI_DC8_YYYYMMDD_R#.ict
CF3Br	GMI_DC8_YYYYMMDD_R#.ict
H2402	GMI_DC8_YYYYMMDD_R#.ict
ALD2	GMI_DC8_YYYYMMDD_R#.ict
ALK4	GMI_DC8_YYYYMMDD_R#.ict
C2H6	GMI_DC8_YYYYMMDD_R#.ict
C3H8	GMI_DC8_YYYYMMDD_R#.ict
EOH	GMI_DC8_YYYYMMDD_R#.ict
ETP	GMI_DC8_YYYYMMDD_R#.ict
ISOP	GMI_DC8_YYYYMMDD_R#.ict
MACR	GMI_DC8_YYYYMMDD_R#.ict
MCO3	GMI_DC8_YYYYMMDD_R#.ict
MEK	GMI_DC8_YYYYMMDD_R#.ict
MVK	GMI_DC8_YYYYMMDD_R#.ict
PAN	GMI_DC8_YYYYMMDD_R#.ict
PMN	GMI_DC8_YYYYMMDD_R#.ict
PPN	GMI_DC8_YYYYMMDD_R#.ict
PRPE	GMI_DC8_YYYYMMDD_R#.ict
R#N2	GMI_DC8_YYYYMMDD_R#.ict
RCHO	GMI_DC8_YYYYMMDD_R#.ict
ACET	GMI_DC8_YYYYMMDD_R#.ict
Day_Of_Year	Hskping_DC8_YYYYMMDD_R#.ict
Latitude	Hskping_DC8_YYYYMMDD_R#.ict
Longitude	Hskping_DC8_YYYYMMDD_R#.ict
MSL_GPS_Altitude	Hskping_DC8_YYYYMMDD_R#.ict
HAE_GPS_Altitude	Hskping_DC8_YYYYMMDD_R#.ict
Pressure_Altitude	Hskping_DC8_YYYYMMDD_R#.ict
Radar_Altitude	Hskping_DC8_YYYYMMDD_R#.ict
Ground_Speed	Hskping_DC8_YYYYMMDD_R#.ict
True_Air_Speed	Hskping_DC8_YYYYMMDD_R#.ict
